movie,type,rating,year,domestic,worldwide,director
Toy Story,Family,G,1995,191.8,358.8,J. Lasseter
Toy Story 2,Family,G,1999,245.8,485.7,J. Lasseter
Traffic,Drama,R,2000,124.1,207,S. Soderbergh
True Lies,Action,R,1994,146.3,365.3,J. Cameron
Twins,Comedy,PG,1988,111.9,216.6,I. Reitman
Twister,Action,PG-13,1996,241.7,495,J. de Bont
Unforgiven,Drama,R,1992,101.2,159.2,C. Eastwood
Vanilla Sky,Drama,R,2001,100.6,201.1,C. Crowe
Wayne's World,Comedy,PG-13,1992,121.7,183.1,P. Spheeris
What Lies Beneath,Mystery-Suspense,PG-13,2000,155.4,275.6,R. Zemeckis
What Women Want,Comedy,PG-13,2000,182.8,372.3,N. Meyers
Who Framed Roger Rabbit,Comedy,PG,1988,154.1,349.2,R. Zemeckis
Wild Wild West,Action,PG-13,1999,113.7,217.8,B. Sonnenfeld
X-Men,Action,PG-13,2000,157.3,294.3,B. Singer
X2: X-Men United,Action,PG-13,2003,199.4,365,B. Singer
XXX,Action,PG-13,2002,141.2,267.2,R. Cohen
You've Got Mail,Drama,PG,1998,115.7,250.7,N. Ephron
