Movie,Type,Rating,Year,Domestic,Worldwide,Director
The Towering Inferno,Action,PG,1974,116.00,116.00,I. Allen/J. Guillermin
The Truman Show,Drama,PG,1998,126.50,248.40,P. Weir
The Waterboy,Comedy,PG-13,1998,161.50,190.20,F. Coraci
The World Is Not Enough,Mystery-Suspense,PG-13,1999,126.90,352.00,M. Apted
There's Something About Mary,Comedy,R,1998,176.50,360.10,B. Farrelly/P. Farrelly
Three Men and a Baby,Comedy,PG,1987,167.80,167.80,L. Nimoy
Titanic,Drama,PG-13,1997,600.80,1835.00,J. Cameron
Tomorrow Never Dies,Mystery-Suspense,PG-13,1997,125.30,346.60,R. Spottiswoode
Tootsie,Comedy,PG,1982,177.20,177.20,S. Pollack
Top Gun,Drama,PG,1986,176.80,344.80,T. Scott
Total Recall,Action,R,1990,119.40,261.40,P. Verhoeven
Toy Story,Family,G,1995,191.80,358.80,J. Lasseter
Toy Story 2,Family,G,1999,245.80,485.70,J. Lasseter
Traffic,Drama,R,2000,124.10,207.00,S. Soderbergh
True Lies,Action,R,1994,146.30,365.30,J. Cameron
Twins,Comedy,PG,1988,111.90,216.60,I. Reitman
Twister,Action,PG-13,1996,241.70,495.00,J. de Bont
Unforgiven,Drama,R,1992,101.20,159.20,C. Eastwood
Vanilla Sky,Drama,R,2001,100.60,201.10,C. Crowe
Wayne's World,Comedy,PG-13,1992,121.70,183.10,P. Spheeris
What Lies Beneath,Mystery-Suspense,PG-13,2000,155.40,275.60,R. Zemeckis
What Women Want,Comedy,PG-13,2000,182.80,372.30,N. Meyers
Who Framed Roger Rabbit,Comedy,PG,1988,154.10,349.20,R. Zemeckis
Wild Wild West,Action,PG-13,1999,113.70,217.80,B. Sonnenfeld
X-Men,Action,PG-13,2000,157.30,294.30,B. Singer
X2: X-Men United,Action,PG-13,2003,199.40,365.00,B. Singer
XXX,Action,PG-13,2002,141.20,267.20,R. Cohen
You've Got Mail,Drama,PG,1998,115.70,250.70,N. Ephron
